ID,SiteID,SiteName,StreamID,StreamName,TimeStamp,Value
9446699811,17469,12001 Great Commission Way (BL40126032R),249715,Battery Life,08/07/2021 16:33:03,90
9446699884,17469,12001 Great Commission Way (BL40126032R),249721,Pressure sensor,08/07/2021 16:43:00,82.025
9446699812,17469,12001 Great Commission Way (BL40126032R),249715,Battery Life,08/07/2021 16:43:03,90
9446699813,17469,12001 Great Commission Way (BL40126032R),249715,Battery Life,08/07/2021 16:47:27,90
9446699909,17469,12001 Great Commission Way (BL40126032R),255227,Internal Humidity,08/07/2021 16:47:28,0
9446699885,17469,12001 Great Commission Way (BL40126032R),249721,Pressure sensor,08/07/2021 16:53:00,85.425
9446699814,17469,12001 Great Commission Way (BL40126032R),249715,Battery Life,08/07/2021 16:53:03,90
9446699886,17469,12001 Great Commission Way (BL40126032R),249721,Pressure sensor,08/07/2021 17:03:00,78.2
9446699815,17469,12001 Great Commission Way (BL40126032R),249715,Battery Life,08/07/2021 17:03:03,90
9446699887,17469,12001 Great Commission Way (BL40126032R),249721,Pressure sensor,08/07/2021 17:13:00,81.5625
9446699816,17469,12001 Great Commission Way (BL40126032R),249715,Battery Life,08/07/2021 17:13:03,90
9446699888,17469,12001 Great Commission Way (BL40126032R),249721,Pressure sensor,08/07/2021 17:23:00,85.2
9446699817,17469,12001 Great Commission Way (BL40126032R),249715,Battery Life,08/07/2021 17:23:03,90
9446699889,17469,12001 Great Commission Way (BL40126032R),249721,Pressure sensor,08/07/2021 17:33:00,86.05
9446699818,17469,12001 Great Commission Way (BL40126032R),249715,Battery Life,08/07/2021 17:33:03,90
9446699890,17469,12001 Great Commission Way (BL40126032R),249721,Pressure sensor,08/07/2021 17:43:00,80.675
9446699819,17469,12001 Great Commission Way (BL40126032R),249715,Battery Life,08/07/2021 17:43:03,90
9446699891,17469,12001 Great Commission Way (BL40126032R),249721,Pressure sensor,08/07/2021 17:53:00,88.675
9446699820,17469,12001 Great Commission Way (BL40126032R),249715,Battery Life,08/07/2021 17:53:03,90
9446699892,17469,12001 Great Commission Way (BL40126032R),249721,Pressure sensor,08/07/2021 18:03:00,73.2375
